iter	Logloss
421	0.5306525466
422	0.5306145296
423	0.5305728211
424	0.5305240033
425	0.5304900038
426	0.5304645374
427	0.5304069195
428	0.530371482
429	0.5303527084
430	0.5303073085
431	0.5302733662
432	0.5302284899
433	0.5301966981
434	0.530155911
435	0.5301211817
436	0.5300828111
437	0.5300532882
438	0.530022091
439	0.5299722007
440	0.5299318267
441	0.5298995082
442	0.5298485857
443	0.5298341578
444	0.529801245
445	0.5297827292
446	0.5297346381
447	0.5297107214
448	0.5296833994
449	0.5296470444
450	0.5296231871
451	0.5295873081
452	0.5295566223
453	0.5295175678
454	0.529495971
455	0.5294714883
456	0.5294270671
457	0.5293878123
458	0.5293442411
459	0.5293229884
460	0.5292886381
461	0.5292535426
462	0.5292319531
463	0.5291932583
464	0.5291526362
465	0.5291324852
466	0.5291021141
467	0.5290723442
468	0.5290465822
469	0.5290231841
470	0.5289874644
471	0.5289389383
472	0.5289154692
473	0.5288775049
474	0.5288403965
475	0.528810314
476	0.5287852455
477	0.5287586407
478	0.5287317529
479	0.5286905102
480	0.5286472719
481	0.5286048641
482	0.5285804583
483	0.5285620324
484	0.5285453743
485	0.5285109286
486	0.5284811131
487	0.5284561043
488	0.528421956
489	0.5283891393
490	0.5283421121
491	0.5283147114
492	0.5282745008
493	0.5282427384
494	0.528222819
495	0.5281745215
496	0.5281364385
497	0.5281121619
498	0.5280704917
499	0.5280218079
500	0.5279853765
501	0.5279480485
502	0.5279327128
503	0.5279008121
504	0.5278769995
505	0.5278263987
506	0.5277906397
507	0.5277574188
508	0.5277445732
509	0.527708898
510	0.5276786266
511	0.5276494278
512	0.5276151315
513	0.5275709492
514	0.5275371585
515	0.5274995489
516	0.5274744208
517	0.5274309472
518	0.5273981912
519	0.5273641084
520	0.5273487167
521	0.5273070168
522	0.5272822052
523	0.5272437491
524	0.527206929
525	0.5271734918
526	0.5271419478
527	0.5271051113
528	0.5270639685
529	0.5270224591
530	0.5269951656
531	0.5269635059
532	0.5269403234
533	0.5269134647
534	0.5268775472
535	0.5268511875
536	0.5268170516
537	0.5267873465
538	0.5267491021
539	0.5267252428
540	0.526698958
541	0.5266649737
542	0.5266511244
543	0.5266134136
544	0.5265810986
545	0.5265479454
546	0.5265216436
547	0.5264824596
548	0.5264636024
549	0.5264346338
550	0.5264144916
551	0.5263814439
552	0.526366633
553	0.5263534432
554	0.5263348863
555	0.5263122331
556	0.5262770866
557	0.5262454662
558	0.5262103768
559	0.5261760749
560	0.5261501647
561	0.5261155956
562	0.5260928923
563	0.5260634157
564	0.5260462516
565	0.5260170653
566	0.5259835193
567	0.5259345341
568	0.5259159274
569	0.5259009745
570	0.525863536
571	0.5258245911
572	0.5257908947
573	0.5257608693
574	0.5257495281
575	0.5257027692
576	0.5256860033
577	0.5256522047
578	0.525613365
579	0.5255764708
580	0.5255472337
581	0.5255323144
582	0.5255163828
583	0.5254816525
584	0.5254476805
585	0.5254337267
586	0.5253926735
587	0.5253499311
588	0.5253077385
589	0.5252822745
590	0.5252518648
591	0.5252410876
592	0.5252145178
593	0.5251923879
594	0.525152505
595	0.5251289862
596	0.5250844016
597	0.5250467907
598	0.525019778
599	0.5249841418
600	0.5249476005
601	0.5249210207
602	0.5248851563
603	0.52485631
604	0.5248225955
605	0.5247913033
606	0.5247666307
607	0.524729172
608	0.5247036482
609	0.5246798529
610	0.5246556348
611	0.5246248966
612	0.5245820551
613	0.5245423246
614	0.5245160667
615	0.5244760463
616	0.5244515667
617	0.5244133423
618	0.5243973011
619	0.5243581591
620	0.52433284
621	0.5243184285
622	0.5242794807
623	0.5242511965
624	0.5242162653
625	0.5241841311
626	0.5241696832
627	0.5241566936
628	0.5241311428
629	0.5241038218
630	0.5240687632
631	0.5240422133
632	0.5240064376
633	0.5239768131
634	0.5239488646
635	0.5239231464
636	0.5239114371
637	0.523896043
638	0.5238764331
639	0.5238518838
640	0.5238194138
641	0.5237801933
642	0.5237497501
643	0.5237259232
644	0.5236933173
645	0.5236630169
646	0.5236441922
647	0.5236140495
648	0.5235767956
649	0.5235507437
650	0.5235234878
651	0.5234857408
652	0.5234612596
653	0.5234227154
654	0.5233868118
655	0.5233490119
656	0.5233318941
657	0.5233026294
658	0.5232680485
659	0.5232387624
660	0.523224708
661	0.5232109379
662	0.5231789068
663	0.5231426735
664	0.5231117403
665	0.5230996082
666	0.5230641062
667	0.5230514227
668	0.5230385887
669	0.5230116145
670	0.5229792548
671	0.522960509
672	0.5229447969
673	0.5229134404
674	0.5229018096
675	0.5228635936
676	0.5228202661
677	0.5227871666
678	0.5227637486
679	0.5227265013
680	0.5226906179
681	0.5226685078
682	0.5226325145
683	0.5226153414
684	0.5225856366
685	0.5225493549
686	0.522532985
687	0.5225234768
688	0.522488291
689	0.5224621251
690	0.5224528735
691	0.5224215514
692	0.5223988247
693	0.5223743755
694	0.5223460372
695	0.5223180839
696	0.5223081258
697	0.5222598817
698	0.5222342138
699	0.5221955774
700	0.5221738025
701	0.5221393751
702	0.5221090026
703	0.5220899493
704	0.5220516919
705	0.5220131243
706	0.5219829881
707	0.5219701893
708	0.521950552
709	0.5219252962
710	0.5219006422
711	0.5218605801
712	0.5218440114
713	0.521803452
714	0.5217739118
715	0.5217518409
716	0.5217413942
717	0.5217109625
718	0.5216919113
719	0.5216698334
720	0.5216498035
721	0.5216182533
722	0.5215947219
723	0.5215700349
724	0.5215385084
725	0.5215090813
726	0.5214959231
727	0.5214819205
728	0.5214541793
729	0.5214424286
730	0.5214094533
731	0.5213792408
732	0.5213451581
733	0.52131857
734	0.5212820932
735	0.5212482479
736	0.5212140498
737	0.5211761403
738	0.521163585
739	0.5211400854
740	0.5210927533
741	0.5210547612
742	0.5210143698
743	0.5209904915
744	0.5209540525
745	0.5209148912
746	0.5208889325
747	0.5208565584
748	0.5208421948
749	0.5208018424
750	0.5207930069
751	0.5207712309
752	0.5207515971
753	0.5207210287
754	0.5206941138
755	0.520658086
756	0.5206460104
757	0.5206123175
758	0.5205679726
759	0.520545525
760	0.5205235523
761	0.5204976678
762	0.5204666023
763	0.5204427343
764	0.5204130869
765	0.5203784152
766	0.5203547301
767	0.5203326086
768	0.5203083419
769	0.5202820734
770	0.5202452542
771	0.5202080813
772	0.5201737009
773	0.5201415975
774	0.5201164648
775	0.5200974855
776	0.5200720164
777	0.5200413605
778	0.5200319576
779	0.5200198322
780	0.5199914364
781	0.5199678501
782	0.5199390246
783	0.5199179842
784	0.5198823498
785	0.5198604632
786	0.5198253588
787	0.5197886614
788	0.5197550995
789	0.5197379748
790	0.5196947826
791	0.5196688978
792	0.5196350245
793	0.5196087598
794	0.519600821
795	0.5195884831
796	0.5195721809
797	0.5195491932
798	0.5195215203
799	0.5194951389
800	0.5194796105
801	0.5194515573
802	0.5194185327
803	0.5193891952
804	0.5193563108
805	0.5193270309
806	0.5193159621
807	0.5192800083
808	0.519244445
809	0.5192304211
810	0.5191963176
811	0.5191539119
812	0.5191234575
813	0.5190956565
814	0.5190421662
815	0.5190307614
816	0.5189915299
817	0.5189744213
818	0.5189623092
819	0.5189311524
820	0.5189093436
821	0.5188701161
822	0.518836517
823	0.5188115887
824	0.5188011097
825	0.518766431
826	0.5187547955
827	0.5187486594
828	0.518742848
829	0.5187230989
830	0.5186996624
831	0.5186646049
832	0.5186236989
833	0.5186036716
834	0.5185770152
835	0.5185465946
836	0.518514902
837	0.5185016558
838	0.5184791768
839	0.5184545979
840	0.518419496
841	0.5183922049
842	0.5183835579
843	0.5183599556
844	0.518327602
845	0.5182987085
846	0.5182718772
847	0.5182384476
848	0.5182176219
849	0.5182078233
850	0.5181764743
851	0.5181451327
852	0.518113276
853	0.5180940153
854	0.5180840085
855	0.5180640051
856	0.518046126
857	0.5180157858
858	0.5179894957
859	0.5179555724
860	0.5179311714
861	0.5179173165
862	0.5178876387
863	0.5178555919
864	0.5178227917
865	0.517793769
866	0.5177728854
867	0.5177641385
868	0.5177244097
869	0.5176924707
870	0.5176655327
871	0.5176381876
872	0.5176173667
873	0.5175868093
874	0.5175616854
875	0.5175402533
876	0.5175090164
877	0.5174952384
878	0.5174668294
879	0.5174549039
880	0.517420078
881	0.5174001878
882	0.5173770488
883	0.5173434204
884	0.5173166248
885	0.5172766413
886	0.5172502993
887	0.5172358005
888	0.5172077957
889	0.5172012788
890	0.5171778569
891	0.5171499974
892	0.5171352995
893	0.5171254674
894	0.5171108199
895	0.5170717694
896	0.5170628954
897	0.5170294646
898	0.5169990089
899	0.516977727
900	0.516946819
901	0.5169345407
902	0.5169145854
903	0.5168807055
904	0.5168543503
905	0.5168176859
906	0.5168030942
907	0.5167692534
908	0.5167484681
909	0.5167217673
910	0.5167030455
911	0.5166756995
912	0.5166461588
913	0.5166228317
914	0.5165993236
915	0.516572672
916	0.5165343732
917	0.5165083784
918	0.5164905548
919	0.5164621336
920	0.5164368336
921	0.5164131071
922	0.5163972142
923	0.5163722979
924	0.5163381958
925	0.5163094831
926	0.5162826256
927	0.5162487561
928	0.516236878
929	0.5162297438
930	0.516204406
931	0.5161823675
932	0.5161561066
933	0.5161242753
934	0.5161107522
935	0.5160814359
936	0.5160498049
937	0.5160261722
938	0.5160043521
939	0.5159915342
940	0.5159751962
941	0.5159567427
942	0.5159300173
943	0.5159000822
944	0.5158816303
945	0.5158484849
946	0.5158245331
947	0.5158138913
948	0.515791268
949	0.5157536208
950	0.5157268692
951	0.5156982638
952	0.5156573556
953	0.515635507
954	0.5155974732
955	0.5155748826
956	0.5155639938
957	0.5155331047
958	0.5155088123
959	0.5154703032
960	0.5154431618
961	0.5154105594
962	0.5153785865
963	0.5153537227
964	0.5153266757
965	0.5153190486
966	0.5152933169
967	0.5152801867
968	0.5152478461
969	0.5152161042
970	0.5151905019
971	0.5151690134
972	0.5151371072
973	0.5151056819
974	0.515083638
975	0.5150588958
976	0.5150529271
977	0.515025102
978	0.5149919958
979	0.5149784585
980	0.5149464795
981	0.514936462
982	0.5148993626
983	0.5148643569
984	0.5148437143
985	0.5148045381
986	0.5147972009
987	0.5147773102
988	0.5147663527
989	0.5147583226
990	0.5147418421
991	0.5147230627
992	0.5146945256
993	0.5146865469
994	0.5146603201
995	0.514650631
996	0.5146197609
997	0.5145872499
998	0.5145640467
999	0.5145556229
